folio;folioArmstrong;presi;nnot;prensa;yr;mes;inicio;fin;duracion;ddpp;leg;bboo;id_legb;inst;min;ciuur4;ciuur3;ciuur2;trabemp;rangoemp;org;orgb;tc;externo;extgeo;reg1;reg2;reg3;com1;lat1;long1;com2;lat2;long2;com3;lat3;long3;dem1;dem2;dem3;dem4;dem5;tactica1;tactica2;tactica3;tactica4;tactica5;lockout;blanco1;blanco2;blanco3;poli;enfrentamiento;arresto;heridos;neg;dis_sin_enf;fuerza_pol;bomb;carros;n_det;muertos;n_muertos;aliado1;central1;aliado2;central2;aliado3;central3;autoridad;dhtp;acuerdo;cod;Comentarios;dem.antigua;
;30;1;;;1979;;;;8,0;6,0;1;;;1;;;;3;;;;;339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2034,0;;;;1,0;
;31;1;;;1979;;;;15,0;12,0;1;;;1;;;;6;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;840,0;;;;1,0;
;32;1;;;1979;;;;17,0;14,0;1;;;1;;;;3;;;;;198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2772,0;;;;1,0;
;33;1;;;1979;;;;17,0;14,0;1;;;1;;;;3;;;;;780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10920,0;;;;1,0;
;34;1;;;1979;;;;17,0;14,0;1;;;1;;;;3;;;;;428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5992,0;;;;1,0;
;35;1;;;1979;;;;6,0;4,0;1;;;1;;;;3;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360,0;;;;1,0;
;36;1;;;1979;;;;6,0;4,0;1;;;1;;;;3;;;;;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;568,0;;;;1,0;
;37;1;;;1979;;;;9,0;7,0;1;;;1;;;;3;;;;;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;399,0;;;;1,0;
;38;1;;;1979;;;;14,0;10,0;1;;;1;;;;3;;;;;633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6330,0;;;;1,0;
;39;1;;;1980;;;;24,0;21,0;1;;;1;;;;3;;;;;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2478,0;;;;1,0;
;40;1;;;1980;;;;44,4;32,4;1;;;1;;;;3;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2980,8;;;;1,0;
;41;1;;;1980;;;;8,0;7,0;1;;;1;;;;3;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133,0;;;;1,0;
;42;1;;;1980;;;;14,0;12,0;1;;;3;;;;2;;;;;1227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14724,0;;;;1,0;
;43;1;;;1980;;;;53,0;45,0;1;;;1;;;;3;;;;;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5760,0;;;;1,0;
;44;1;;;1980;;;;53,0;45,0;1;;;1;;;;3;;;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1845,0;;;;1,0;
