folio;folioArmstrong;presi;nnot;prensa;yr;mes;inicio;fin;duracion;ddpp;leg;bboo;id_legb;inst;min;ciuur4;ciuur3;ciuur2;trabemp;rangoemp;org;orgb;tc;externo;extgeo;reg1;reg2;reg3;com1;lat1;long1;com2;lat2;long2;com3;lat3;long3;dem1;dem2;dem3;dem4;dem5;tactica1;tactica2;tactica3;tactica4;tactica5;lockout;blanco1;blanco2;blanco3;poli;enfrentamiento;arresto;heridos;neg;dis_sin_enf;fuerza_pol;bomb;carros;n_det;muertos;n_muertos;aliado1;central1;aliado2;central2;aliado3;central3;autoridad;dhtp;acuerdo;cod;Comentarios;dem.antigua;
;2588;3;;;1995;;;;1,0;1,0;2;;;42;;;;11;;;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65,0;;;;1,0;
;2589;3;;;1995;;;;7,0;6,0;2;;;5;;;;11;;;;;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2100,0;;;;9,1;
;2590;3;;;1995;;;;2,0;2,0;2;;;42;;;;11;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,0;;;;20,0;
;2591;3;;;1995;;;;0,5;0,5;2;;;3;;;;7;;;;;1377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;688,5;;;;14,1;
;2592;3;;;1995;;;;0,1;0,1;2;;;3;;;;7;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,3;;;;14,1;
;2593;3;;;1995;;;;0,2;0,2;2;;;3;;;;7;;;;;1377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275,4;;;;14,1;
;2594;3;;;1995;;;;3,0;3,0;2;;;3;;;;2;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;900,0;;;;8,2;
;2595;3;;;1995;;;;3,0;1,0;2;;;3;;;;2;;;;;1552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1552,0;;;;1,0;
;2596;3;;;1995;;;;17,0;12,0;2;;;3;;;;4;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360,0;;;;20,0;
;2597;3;;;1995;;;;4,0;3,0;2;;;3;;;;4;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33,0;;;;20,0;
;2598;3;;;1995;;;;2,0;2,0;2;;;41;;;;9;;;;;30000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60000,0;;;;1,0;
;2599;3;;;1995;;;;0,9;0,9;2;;;41;;;;9;;;;;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;630,0;;;;15,2;
;2600;3;;;1995;;;;2,0;2,0;2;;;42;;;;11;;;;;8022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16044,0;;;;1,0;
;2601;3;;;1995;;;;1,0;1,0;2;;;42;;;;11;;;;;1190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1190,0;;;;6,4;
;2602;3;;;1995;;;;0,1;0,1;2;;;42;;;;11;;;;;530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,0;;;;6,4;
;2603;3;;;1995;;;;0,5;0,5;2;;;42;;;;11;;;;;15300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7650,0;;;;1,0;
;2604;3;;;1995;;;;1,0;1,0;2;;;42;;;;11;;;;;11900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11900,0;;;;1,0;
;2605;3;;;1995;;;;2,0;2,0;2;;;42;;;;11;;;;;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128,0;;;;4,1;
;2606;3;;;1995;;;;8,0;7,0;2;;;3;;;;2;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280,0;;;;1,0;
;2607;3;;;1995;;;;3,0;3,0;2;;;42;;;;11;;;;;13600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40800,0;;;;13,3;
;2608;3;;;1995;;;;15,0;10,0;2;;;43;;;;10;;;;;970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9700,0;;;;2,0;
;2609;3;;;1995;;;;2,0;2,0;2;;;43;;;;10;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,0;;;;2,0;
;2610;3;;;1995;;;;3,0;3,0;2;;;5;;;;11;;;;;7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21600,0;;;;1,0;
;2611;3;;;1995;;;;2,0;2,0;2;;;5;;;;11;;;;;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20000,0;;;;1,0;
;2612;3;;;1995;;;;1,0;1,0;2;;;43;;;;10;;;;;960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;960,0;;;;2,0;
;2613;3;;;1995;;;;0,5;0,5;2;;;5;;;;11;;;;;1105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;552,5;;;;6,5;
;2614;3;;;1995;;;;1,0;1,0;2;;;43;;;;10;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000,0;;;;2,0;
;2615;3;;;1995;;;;5,0;4,0;2;;;5;;;;11;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280,0;;;;9,2;
;2616;3;;;1995;;;;0,3;0,3;2;;;5;;;;9;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60,0;;;;1,0;
;2617;3;;;1995;;;;1,0;1,0;2;;;43;;;;10;;;;;2700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2700,0;;;;1,0;
;2618;3;;;1995;;;;1,0;1,0;2;;;43;;;;10;;;;;272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;272,0;;;;1,0;
;2619;3;;;1995;;;;1,0;1,0;2;;;5;;;;9;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300,0;;;;1,0;
;2620;3;;;1995;;;;0,1;0,1;2;;;5;;;;9;;;;;4900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;490,0;;;;1,0;
;2621;3;;;1995;;;;0,3;0,3;2;;;5;;;;9;;;;;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2100,0;;;;1,0;
;2622;3;;;1995;;;;1,0;1,0;2;;;5;;;;10;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500,0;;;;1,0;
;2623;3;;;1995;;;;1,0;1,0;2;;;3;;;;9;;;;;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700,0;;;;3,1;
;2624;3;;;1995;;;;1,0;1,2;2;;;5;;;;10;;;;;14000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16800,0;;;;13,3;
;2625;3;;;1995;;;;0,6;0,6;2;;;5;;;;9;;;;;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;720,0;;;;13,3;
;2626;3;;;1995;;;;1,0;1,0;2;;;5;;;;9;;;;;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800,0;;;;8,9;
;2627;3;;;1995;;;;15,0;13,0;2;;;3;;;;9;;;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;819,0;;;;1,0;
;2628;3;;;1995;;;;0,4;0,4;2;;;5;;;;10;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,4;;;;4,1;
;2629;3;;;1995;;;;0,1;0,1;2;;;6;;;;9;;;;;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000,0;;;;1,0;
;2630;3;;;1996;;;;30,0;26,0;1;;;1;;;;3;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;494,0;;;;1,0;
;2631;3;;;1996;;;;2,0;2,0;1;;;1;;;;1;;;;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;246,0;;;;1,0;
;2632;3;;;1996;;;;3,0;3,0;1;;;1;;;;5;;;;;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;336,0;;;;1,0;
;2633;3;;;1996;;;;3,0;3,0;1;;;1;;;;11;;;;;596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1788,0;;;;1,0;
;2634;3;;;1996;;;;7,0;6,0;1;;;1;;;;6;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102,0;;;;1,0;
;2635;3;;;1996;;;;7,0;6,0;1;;;1;;;;8;;;;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;276,0;;;;1,0;
;2636;3;;;1996;;;;9,0;8,0;1;;;1;;;;3;;;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;504,0;;;;1,0;
;2637;3;;;1996;;;;9,0;8,0;1;;;1;;;;1;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;440,0;;;;1,0;
;2638;3;;;1996;;;;9,0;8,0;1;;;1;;;;3;;;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;696,0;;;;1,0;
;2639;3;;;1996;;;;11,0;10,0;1;;;1;;;;3;;;;;605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6050,0;;;;1,0;
;2640;3;;;1996;;;;14,0;12,0;1;;;1;;;;11;;;;;293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3516,0;;;;1,0;
;2641;3;;;1996;;;;4,0;4,0;1;;;1;;;;3;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32,0;;;;1,0;
;2642;3;;;1996;;;;1,0;1,0;1;;;1;;;;5;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;;;;1,0;
;2643;3;;;1996;;;;1,0;1,0;1;;;1;;;;5;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100,0;;;;1,0;
;2644;3;;;1996;;;;11,0;10,0;1;;;1;;;;3;;;;;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1240,0;;;;1,0;
;2645;3;;;1996;;;;26,0;21,6;1;;;1;;;;3;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1080,0;;;;1,0;
;2646;3;;;1996;;;;33,0;29,0;1;;;1;;;;1;;;;;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6235,0;;;;1,0;
;2647;3;;;1996;;;;33,0;30,0;1;;;1;;;;3;;;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1290,0;;;;1,0;
;2648;3;;;1996;;;;1,0;1,0;1;;;1;;;;6;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,0;;;;1,0;
;2649;3;;;1996;;;;9,0;8,0;1;;;1;;;;3;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2400,0;;;;1,0;
;2650;3;;;1996;;;;9,0;8,0;1;;;1;;;;3;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160,0;;;;1,0;
;2651;3;;;1996;;;;11,0;8,4;1;;;1;;;;10;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;277,2;;;;1,0;
;2652;3;;;1996;;;;12,0;10,0;1;;;1;;;;5;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240,0;;;;1,0;
;2653;3;;;1996;;;;1,0;1,0;1;;;1;;;;3;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,0;;;;1,0;
;2654;3;;;1996;;;;2,0;2,0;1;;;1;;;;3;;;;;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;214,0;;;;1,0;
;2655;3;;;1996;;;;10,0;9,0;1;;;1;;;;3;;;;;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1089,0;;;;1,0;
;2656;3;;;1996;;;;19,0;15,0;1;;;1;;;;3;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;750,0;;;;1,0;
;2657;3;;;1996;;;;1,0;1,0;1;;;1;;;;7;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,0;;;;1,0;
;2658;3;;;1996;;;;5,0;5,0;1;;;1;;;;6;;;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;325,0;;;;1,0;
;2659;3;;;1996;;;;1,0;1,0;1;;;1;;;;3;;;;;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79,0;;;;1,0;
;2660;3;;;1996;;;;3,0;3,6;1;;;1;;;;10;;;;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;468,0;;;;1,0;
;2661;3;;;1996;;;;3,0;3,0;1;;;1;;;;3;;;;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;369,0;;;;1,0;
;2662;3;;;1996;;;;4,0;4,0;1;;;1;;;;3;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,0;;;;1,0;
;2663;3;;;1996;;;;4,0;4,8;1;;;1;;;;6;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;748,8;;;;1,0;
;2664;3;;;1996;;;;8,0;5,0;1;;;1;;;;8;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60,0;;;;1,0;
;2665;3;;;1996;;;;9,0;6,0;1;;;1;;;;3;;;;;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;822,0;;;;1,0;
;2666;3;;;1996;;;;18,0;14,0;1;;;1;;;;3;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;378,0;;;;1,0;
;2667;3;;;1996;;;;23,0;18,0;1;;;1;;;;3;;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1296,0;;;;1,0;
;2668;3;;;1996;;;;1,0;1,0;1;;;1;;;;3;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,0;;;;1,0;
;2669;3;;;1996;;;;3,0;3,6;1;;;1;;;;10;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97,2;;;;1,0;
;2670;3;;;1996;;;;6,0;6,0;1;;;1;;;;3;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120,0;;;;1,0;
;2671;3;;;1996;;;;19,0;15,0;1;;;1;;;;3;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300,0;;;;1,0;
;2672;3;;;1996;;;;5,0;6,0;1;;;1;;;;3;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282,0;;;;1,0;
;2673;3;;;1996;;;;5,0;4,0;1;;;1;;;;3;;;;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208,0;;;;1,0;
;2674;3;;;1996;;;;8,0;7,2;1;;;1;;;;8;;;;;383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2757,6;;;;1,0;
;2675;3;;;1996;;;;15,0;12,0;1;;;1;;;;3;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;228,0;;;;1,0;
;2676;3;;;1996;;;;1,0;1,0;1;;;1;;;;1;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,0;;;;1,0;
;2677;3;;;1996;;;;2,0;2,0;1;;;1;;;;3;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132,0;;;;1,0;
;2678;3;;;1996;;;;5,0;4,0;1;;;1;;;;3;;;;;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;684,0;;;;1,0;
;2679;3;;;1996;;;;10,0;9,0;1;;;3;;;;2;;;;;6929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62361,0;;;;1,0;
;2680;3;;;1996;;;;12,0;10,0;1;;;1;;;;3;;;;;103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1030,0;;;;1,0;
;2681;3;;;1996;;;;20,0;16,0;1;;;1;;;;3;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256,0;;;;1,0;
;2682;3;;;1996;;;;21,0;17,0;1;;;1;;;;3;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;561,0;;;;1,0;
;2683;3;;;1996;;;;2,0;2,0;1;;;1;;;;3;;;;;381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;762,0;;;;1,0;
;2684;3;;;1996;;;;7,0;6,0;1;;;1;;;;6;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;426,0;;;;1,0;
;2685;3;;;1996;;;;15,0;12,0;1;;;1;;;;3;;;;;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1944,0;;;;1,0;
;2686;3;;;1996;;;;18,0;15,0;1;;;1;;;;3;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150,0;;;;1,0;
;2687;3;;;1996;;;;7,0;5,0;1;;;1;;;;8;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55,0;;;;1,0;
;2688;3;;;1996;;;;18,0;14,0;1;;;1;;;;3;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126,0;;;;1,0;
;2689;3;;;1996;;;;2,0;2,0;1;;;1;;;;3;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,0;;;;1,0;
;2690;3;;;1996;;;;12,0;9,0;1;;;1;;;;3;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1044,0;;;;1,0;
;2691;3;;;1996;;;;12,0;8,4;1;;;1;;;;10;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;319,2;;;;1,0;
;2692;3;;;1996;;;;15,0;12,0;1;;;1;;;;3;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;636,0;;;;1,0;
;2693;3;;;1996;;;;1,0;1,0;1;;;1;;;;10;;;;;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,0;;;;1,0;
;2694;3;;;1996;;;;3,0;3,0;1;;;1;;;;1;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48,0;;;;1,0;
;2695;3;;;1996;;;;3,0;3,6;1;;;1;;;;10;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108,0;;;;1,0;
;2696;3;;;1996;;;;3,0;3,6;1;;;1;;;;10;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104,4;;;;1,0;
;2697;3;;;1996;;;;5,0;4,0;1;;;1;;;;3;;;;;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;536,0;;;;1,0;
;2698;3;;;1996;;;;5,0;4,8;1;;;1;;;;10;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62,4;;;;1,0;
;2699;3;;;1996;;;;36,0;30,0;1;;;1;;;;1;;;;;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010,0;;;;1,0;
;2700;3;;;1996;;;;7,0;5,0;1;;;1;;;;12;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240,0;;;;1,0;
;2701;3;;;1996;;;;9,0;7,0;1;;;1;;;;5;;;;;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;357,0;;;;1,0;
;2702;3;;;1996;;;;10,0;8,4;1;;;1;;;;10;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100,8;;;;1,0;
;2703;3;;;1996;;;;10,0;8,0;1;;;1;;;;3;;;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;312,0;;;;1,0;
;2704;3;;;1996;;;;10,0;8,0;1;;;1;;;;3;;;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;504,0;;;;1,0;
;2705;3;;;1996;;;;10,0;8,0;1;;;1;;;;3;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160,0;;;;1,0;
;2706;3;;;1996;;;;11,0;9,0;1;;;1;;;;7;;;;;345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3105,0;;;;1,0;
;2707;3;;;1996;;;;11,0;9,6;1;;;1;;;;10;;;;;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;940,8;;;;1,0;
;2708;3;;;1996;;;;12,0;10,0;1;;;1;;;;2;;;;;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1120,0;;;;1,0;
;2709;3;;;1996;;;;12,0;10,0;1;;;1;;;;3;;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560,0;;;;1,0;
;2710;3;;;1996;;;;15,0;12,0;1;;;1;;;;3;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;432,0;;;;1,0;
;2711;3;;;1996;;;;15,0;12,0;1;;;1;;;;3;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168,0;;;;1,0;
;2712;3;;;1996;;;;17,0;14,4;1;;;1;;;;3;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1022,4;;;;1,0;
;2713;3;;;1996;;;;4,0;2,0;1;;;1;;;;3;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,0;;;;1,0;
;2714;3;;;1996;;;;4,0;4,0;1;;;1;;;;8;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;212,0;;;;1,0;
;2715;3;;;1996;;;;9,0;7,0;1;;;1;;;;7;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252,0;;;;1,0;
;2716;3;;;1996;;;;27,0;24,0;1;;;1;;;;3;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;624,0;;;;1,0;
;2717;3;;;1996;;;;1,0;1,0;1;;;1;;;;7;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100,0;;;;4,1;
;2718;3;;;1996;;;;1,0;1,0;1;;;1;;;;3;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,0;;;;1,0;
;2719;3;;;1996;;;;2,0;2,0;1;;;1;;;;11;;;;;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;278,0;;;;1,0;
;2720;3;;;1996;;;;3,0;3,0;1;;;1;;;;3;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,0;;;;1,0;
;2721;3;;;1996;;;;3,0;3,0;1;;;1;;;;3;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;279,0;;;;1,0;
;2722;3;;;1996;;;;4,0;4,0;1;;;1;;;;5;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60,0;;;;1,0;
;2723;3;;;1996;;;;6,0;6,0;1;;;1;;;;1;;;;;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;648,0;;;;1,0;
;2724;3;;;1996;;;;7,0;6,0;1;;;1;;;;3;;;;;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306,0;;;;1,0;
;2725;3;;;1996;;;;39,0;33,0;1;;;1;;;;3;;;;;305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10065,0;;;;1,0;
